id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
439;РАЗБИВАТЬСЯ В ЛЕПЁШКУ;rasbiwatza w lepjoschku;(Beim Aufprall) dünn wie ein Fladen werden.;Sich für etw. fast umbringen, allzu diensteifrig sein.;sich die Beine ausreißen;0.0;РАЗБИВАТЬСЯ В ЛЕПЁШКУ;razbivattsa v l’ep’oshku;To do one’s utmost, to strain every nerve,;to do next to impossible to attain one’s end.;"To lay oneself out; to go all out";0.0
440;РАЗВЕСИТЬ УШИ;rasweßitj uschi;Die Ohren ausbreiten.;"Aufmerksam, vertrauensvoll lauschen; Faseleien glauben.";ganz Ohr sein;0.5;РАЗВЕСИТЬ УШИ;razv’esit’ ushi;To hang out one’s ears;To be so carried away by what one hears that one doesn’t react properly or forgets about something important.;;0.0
441;РАЗВЯЗАТЬ кому-либо РУКИ;raswjasatj (komu-libo) ruki;J-m die Hände entfesseln.;J-m völlige Freiheit geben, etw. zu tun.;j-m freie Hand lassen;0.5;РАЗВЯЗАТЬ кому-либо РУКИ;razv’azat’ ruki;To untie someone’s hands.;To give someone freedom of action, choice or judgement in a matter.;"To give someone a free hand; to untie someone’s hands.";1.0
442;РАЗВЯЗАТЬ ЯЗЫК;raswjasatj jasyk;Die Zunge lösen.;Schwatzhaft werden.;;0.0;РАЗВЯЗАТЬ ЯЗЫК;razv’azat’ yazyk;To untie one’s tongue;"To begin to talk a lot; to speak after having remained silent.";"To loosen one’s tongue; to find one’s tongue’s tongue.";1.0
443;РАЗРЯДИТЬ АТМОСФЕРУ;rasrjaditj atmoßferu;Die Atmosphäre entspannen.;"An Spannung nachlassen; eine Atmosphäre für ruhige Erörterungen schaffen.";die Atmosphäre entspannen;1.0;РАЗРЯДИТЬ АТМОСФЕРУ;razr’adit’ atmosf’eru;To discharge the atmosphere.;"To relieve tension; to create an atmosphere that will cool down a fiery argument.";To clear the air;0.0
444;РАСХЛЕБЫВАТЬ КАШУ;raßchljobywatj kaschu;Den Brei auslöffeln.;Eine komplizierte, unangenehme Sache erledigen.;die Suppe auslöffeln;0.5;РАСХЛЕБЫВАТЬ КАШУ;raskhl’obyvat’ kashu;To eat up kasha;"To disentangle something; to put things right; to clear up a mess; to get oneself out of a mess.";;0.0
445;РВАТЬ И МЕТАТЬ;rwatj i metatj;Reißen und werfen.;Erzürnt, erbost, erregt sein über j-n oder etw.;Gift und Galle speien;0.0;РВАТЬ И МЕТАТЬ;rvat’ i metat’;To tear and throw.;"To get irritated; to be in a towering rage; to show angry impatience; to worry oneself into a state of temper.";To fret and fume;0.0
446;РВАТЬ НА СЕБЕ ВОЛОСЫ;rwatj na ßebe woloßy;Sich die Haare ausreißen.;"In Verzweiflung geraten; sich sehr ärgern über sich selbst.";sich die Haare raufen;0.5;РВАТЬ НА СЕБЕ ВОЛОСЫ;rvat’ na s’ebe volosy;To tear one’s hair.;"To be desperate; to be distressed; to grieve.";To tear one’s hair.;1.0
447;РВАТЬ кого-либо НА ЧАСТИ;rwatj (kowo-libo) na tschaßti;J-n in Stücke reißen.;J-n mit Bitten, Aufträgen u.ä. bestürmen und ihm keine Ruhe gönnen.;;0.0;РВАТЬ кого-либо НА ЧАСТИ;rvat’ na chasti;To tear someone into pieces.;"To pester someone with questions or requests; to bother someone too much; not to give someone any peace.";;0.0
448;РЕВЕТЬ БЕЛУГОЙ;rewetj belugoj;Wie ein Hausen brüllen.;" Wütend schreien; laut weinen.";wie am Spieß brüllen;0.5;РЕВЕТЬ БЕЛУГОЙ;revet’ belugoy;To roar like a beluga.;"To wail; to scream; to howl with frenzy.";;0.0
449;РОДИТЬСЯ В СОРОЧКЕ;roditza w ßorotschke;Im Hemd geboren werden.;Immer Erfolg haben, ein Glückspilz sein.;"unter einem günstigen Stern geboren sein; ein Sonntagskind sein";0.5;РОДИТЬСЯ В СОРОЧКЕ;rodittsa v sorochk’e;To be born with a shirt on;To be always lucky, successful, happy.;"To always fall on one’s feet; to be born with a silver spoon in one’s mouth.";0.0
450;РОДИТЬСЯ ПОД СЧАСТЛИВОЙ ЗВЕЗДОЙ;roditza pod stschaßliwoj swesdoj;Unter einem glücklichen Stern geboren werden.;"Immer Erfolg haben; ein Glückspilz sein. ";unter einem günstigen Stern geboren sein;0.5;РОДИТЬСЯ ПОД СЧАСТЛИВОЙ ЗВЕЗДОЙ;rodittsa pod schaslfvoy zv’ezdoy;To be born under a lucky star.;To be always lucky, successful, happy;"To always fall on one’s feet; to be born under a lucky star";1.0
451;РУБИТЬ СПЛЕЧА;rubitj ßpletscha;Mit aller Kraft hauen.;Geradezu / aufrichtig reden, handeln, dabei oft unbedacht und ohne Umsicht.;mit der Tür ins Haus fallen;0.0;РУБИТЬ СПЛЕЧА;rubit’ spl’echa;To chop straight from the shoulder.;"To speak in a direct, outspoken, blunt way; without reserve or evasion; to act without previous intention or preparation, promptly, impulsively; to do something without giving it a thought.";Straight from the shoulder;0.5
452;РУБИТЬ СУК, НА КОТОРОМ СИДИШЬ;rubitj ßuk, na kotorom ßidisch;Den Ast abhauen, auf dem du sitzst.;Sich selbst durch sein Handeln schaden.;den Ast absägen, auf dem man sitzt;0.5;РУБИТЬ СУК, НА КОТОРОМ СИДИШЬ;rubit’ suk na kotorom sidish;To be hewing down a bough on which you are sitting.;To act in such a way as to do oneself harm.;"To cut one’s own throat; to saw off the bough on which one is sitting";1.0
453;РУКА НЕ ДРОГНЕТ;ruka ne drognet;Die Hand zittert nicht.;Mit Entschiedenheit etw. tun.;vor etw. nicht zurückschrecken;0.0;РУКА НЕ ДРОГНЕТ;ruka n’e drogn’et;One’s hand wouldn’t shake doing something.;"One won’t hesitate to do something; one will do something without scruple.";"One wouldn’t think twice about doing something; without a qualm.";0.0
454;РУКА HE ПОДНИМАЕТСЯ;ruka ne podnimajetza;Die Hand erhebt sich nicht.;Keine Entschlusskraft haben, etw. zu tun.;;0.0;РУКА HE ПОДНИМАЕТСЯ;ruka n’e podnimayetsa;One’s hand won’t rise.;"One can’t bring himself to do something; one is hesitant about doing something.";Not to have the heart to do something.;0.0
455;РУКИ КОРОТКИ;ruki korotki;Die Arme sind kurz.;"Keine Macht, Möglichkeit haben, etw. zu tun; j-s Macht reicht nicht so weit.";;0.0;РУКИ КОРОТКИ;ruki korotki;One’s hands are short.;"One doesn’t have enough authority, power or strength to do something; one is in no position to do something.";Just try! You coudn’t if you tried!;0.0
456;РУКИ HE ДОХОДЯТ;ruki ne dochodjat;Die Arme reichen nicht bis zu etw.;Keine Zeit oder Möglichkeit haben, sich mit j-m zu beschäftigen, etw. zu tun.;;0.0;РУКИ HE ДОХОДЯТ;ruki n’e dokhod’at;One’s hands don’t reach.;One has no time or possibility to undertake something.;;0.0
457;РУКИ ЧЕШУТСЯ;ruki tscheschutza;Die Hände jucken.;J-d verspürt den starken Wunsch, etw. zu tun, sich mit etw. zu beschäftigen.;es juckt j-m in den Fingern;0.5;РУКИ ЧЕШУТСЯ;ruki cheshutsa;One’s hands are itching.;Someone is anxious to do something.;One’s fingers/hands itch to do something.;1.0
458;РУКОЙ HE ДОСТАНЕШЬ;rukoj ne doßtanesch;Mit der Hand erreichst du es nicht.;Unerreichbar für j-n (von einem Menschen, der eine hohe Stellung bekleidet).;;0.0;РУКОЙ HE ДОСТАНЕШЬ;rukoy n’e dostan’esh;You can’t reach someone with your hand.;Someone is out of reach (usually said of someone in a high position).;;0.0
459;РЫТЬ ЯМУ кому-либо;rytj jamu (komu-libo);J-m eine Grube graben.;Ränke schmieden, intrigieren.;j-m eine Grube graben;1.0;РЫТЬ ЯМУ кому-либо;ryt’ yamu;To dig a pit for someone;"To cause someone trouble; to plunge into intrigue against someone; to do someone harm.";To make /prepare a pitfall for someone.;0.5
460;САДИТЬСЯ НА ЛЮБИМОГО КОНЬКА;ßaditza na ljubimowo konjka;Sich auf sein Lieblingspferd setzen.;Sich über sein Lieblingsthema verbreiten.;sein Steckenpferd reiten;0.5;САДИТЬСЯ НА ЛЮБИМОГО КОНЬКА;sadittsa na l’ubimovo kon’ka;To mount one’s favourite pony.;"To dwell on one’s favourite topic; to be on one’s pet subject.";To mount/ride one’s hobby/hobby-horse;0.5
461;САДИТЬСЯ НА ШЕЮ;ßaditza na scheju;Sich j-m auf den Hals setzen.;"Sich j-n unterordnen; j-n in völlige Abhängigkeit von sich bringen; j-n ausnützen.";;0.0;САДИТЬСЯ НА ШЕЮ;sadittsa na sheyu;To sit down on someone’s neck;"To submit someone to one’s willy; to put someone under one’s complete control; to use someone as a tool.";To live off someone;0.0
462;САДИТЬСЯ HE В СВОИ САНИ;ßaditza ne w ßwoi ßani;Sich nicht in den eigenen Schlitten setzen.;Sich mit etw. beschäftigen, wofür man ungenügende Kenntnisse hat, wozu man nur mangelhafte Fähigkeiten besitzt.;;0.0;САДИТЬСЯ HE В СВОИ САНИ;sadittsa n’e v svoi sani;To get into someone else’s sleigh.;"To undertake to do something one knows nothing about or which one who has inadequate knowledge, training, etc.; to occupy a post for which one is unsuited.";;0.0
463;САМИ С УСАМИ;ßami ß ußami;Wir haben selber Schnurrbärte.;Wir sind nicht schlechter, nicht dümmer als die anderen.;wir sind nicht von gestern;0.0;САМИ С УСАМИ;sami s usami;We too have a moustache of our own.;"Not young in wisdom; no worse than.";We weren’t born yesterday.;0.0
464;САПОГИ ВСМЯТКУ;ßapogi wßmjatku;Weichgekochte Stiefel.;"Völliger Blödsinn; dummes Zeug.";;0.0;САПОГИ ВСМЯТКУ;sapogi vsm’atku;Soft-boiled boots.;Rot, nonsense, rubbish, a trifling matter, nothing.;;0.0
465;СБРАСЫВАТЬ МАСКУ;sbraßywatj maßku;Die Maske abwerfen.;"Sein wahres Gesicht zeigen; aufhören, sich zu verstellen.";die Maske fallen lassen;0.5;СБРАСЫВАТЬ МАСКУ;sbrasyvat’ masku;To throw off the mask.;To show one’s true self, one’s true character and intentions.;To throw off the mask;1.0
466;СВЕТЛАЯ ГОЛОВА;ßwetlaja golowa;Ein heller Kopf.;Ein sehr kluger, logisch denkender Mensch.;ein heller Kopf;1.0;СВЕТЛАЯ ГОЛОВА;sv’etlaya golova;A bright head.;A lucid mind, a clear intellect, a bright spirit.;A clear head;0.5
467;СВОДИТЬ КОНЦЫ С КОНЦАМИ;ßwoditj konzy ß konzami;Ende mit Ende zusammenführen.;Knapp mit seinem Gehalt, Lohn auskommen.;;0.0;СВОДИТЬ КОНЦЫ С КОНЦАМИ;svodit’ kontsy s kontsami;To bring the ends together.;"With great effort or difficulty to balance one’s income with one’s expenditures; to manage with one’s resources.";To make both ends meet.;1.0
468;СВОРОТИТЬ ГОРЫ;ßworotitj gory;Berge fortschieben.;Etw. Bedeutendes tun, das große Anstrengungen fordert.;Berge versetzen;0.5;СВОРОТИТЬ ГОРЫ;svorotit’ gory;To shift mountains.;To do something important which calls for great effort.;To move mountains.;1.0
469;СВЯЗАТЬ кого-либо ПО РУКАМ И НОГАМ;ßwjasatj (kowo-libo) po rukam i nogam;J-n an Händen und Füßen binden.;"J-m die Handlungsfreiheit nehmen; j-s Verhalten von Bedingungen abhängig machen.";j-m sind die Hände gebunden;0.5;СВЯЗАТЬ кого-либо ПО РУКАМ И НОГАМ;To tie someone’s hands and feet;To tie someone’s hands and feet.;"To deprive someone of the possibility to act freely; to completely restrain someone’s activities by conditions or rules.";To bind/tie someone hand and foot;1.0
470;СГЛАЖИВАТЬ ОСТРЫЕ УГЛЫ;sglashiwatj oßtryje ugly;Scharfe Ecken beseitigen.;Die Schärfe der Gegensätze, der Widersprüche mildern.;;0.0;СГЛАЖИВАТЬ ОСТРЫЕ УГЛЫ;sglazhivat’ ostryye ugly;To smooth sharp corners.;"To smooth things over; to relieve the situation; to ease tension; to adjust differences";;0.0
471;СГОРАТЬ CO СТЫДА;sgoratj ßo ßtyda;Vor Scham glühen.;Sich sehr schämen.;vor Scham vergehen;0.5;СГОРАТЬ CO СТЫДА;sgorat’ so styda;To burn with shame.;To feel great shame.;To burn with shame;0.5
472;СГУЩАТЬ КРАСКИ;sgustschatj kraßki;Die Farben verdicken.;Stark übertreiben, etw. schlimmer darstellen, als es ist.;dick auftragen;0.0;СГУЩАТЬ КРАСКИ;sgushchat’ kraski;To thicken the paints.;"To exaggerate; to picture something as being worse than it really is.";To lay it on thick;0.0
473;СДАВАТЬ В АРХИВ;sdawatj w archiw;Dem Archiv übergeben, ins Archiv räumen.;Als etw. Veraltetes der Vergessenheit preisgeben.;etw. ad acta legen;0.0;СДАВАТЬ В АРХИВ;sdavat’ v arkhiv;To relegate to the archives.;"To dismiss as unfit for a particular use; to bury in oblivion as something obsolete or useless.";;0.0
474;СЕМЬ ПОТОВ СОШЛО с кого-либо;ßemj potow ßoschlo (ß kowo-libo);J-m brach siebenmal der Schweiß aus.;J-d hat viel Mühe für die Erfüllung, Verwirklichung von etw. aufgewandt.;;0.0;СЕМЬ ПОТОВ СОШЛО;s’em’ potov soshlo;Seven sweats have come off.;One has exerted himself to the fullest to accomplish something.;To sweat one’s guts out;0.0
475;СЕМЬ ПЯТНИЦ НА НЕДЕЛЕ;ßemj pjatniz na nedele;Sieben Freitage in der Woche.;J-d ändert oft und leicht seine Entschlüsse, Absichten, Stimmungen usw.;;0.0;СЕМЬ ПЯТНИЦ НА НЕДЕЛЕ;s’em’ p’atnits na n’ed’el’e;Someone has seven Fridays in one week.;Someone who easily and frequently changes his mind, mood or intentions.;"Someone is in twenty minds; to chop and change";0.0
476;СЕРДЦЕ /ДУША HE ЛЕЖИТ к кому-либо/чему-либо;ßerze / duscha ne leshit (k komu-libo/tschemu-libo) ;Das Herz / die Seele liegt nicht zu j-m / etw.;J-d hat kein Interesse für j-n / etw., kein Zutrauen zu j-m.;kein Gefallen an j-m / etw. finden;0.0;СЕРДЦЕ /ДУША HE ЛЕЖИТ к кому-либо/чему-либо;sertse/dusha n’e l’ezhit;sertse/dusha n’e l’ezhit;"One’s heart/soul doesn’t lie for something or someone. One feels great pity, compassion, grief; one feels something keenly, takes something hard.";To put one’s foot in it: to get oneself into a fix/spot;0.0
477;СЕРДЦЕ/ДУША РАЗРЫВАЕТСЯ НА ЧАСТИ;ßerze / duscha rasrywajetza na tschaßti;Das Herz / die Seele wird zerrissen.;J-d empfindet tiefes Leid, überwindet etw. schwer.;es zerreißt j-m das Herz;0.5;СЕРДЦЕ/ДУША РАЗРЫВАЕТСЯ НА ЧАСТИ;sertse/dusha razryvayetsa;One’s heart is breaking. ;"One feels great pity, compassion, grief; one feels something keenly, takes something hard.";One’s heart is breaking.;0.0
478;СЕСТЬ В ЛУЖУ;ßeßtj w lushu;Sich in die Pfütze setzen.;Sich in eine dumme, lächerliche Situation begeben.;sich in die Tinte setzen;0.5;СЕСТЬ В ЛУЖУ;-j s’est’ v luzhu;To sit down into a puddle.;"To get oneself into an awkward position or compromising situation; to let oneself be duped; to do or say something stupid.";To put one’s foot in it: to get oneself into a fix/spot.;0.0
479;СЕСТЬ НА МЕЛЬ;ßeßtj na melj;Sich auf eine Sandbank setzen.;In eine (gewöhnlich materiell) schwierige Lage geraten.;in die Klemme geraten;0.0;СЕСТЬ НА МЕЛЬ;s’est’ na m’el’;To sit down on a shoal.;"To get into an extremely difficult situation; to be in unsatisfactory circumstances, especially with little money.";"To be on the rocks; to be in low water; to be in a tight corner.";0.5
480;СЖЕЧЬ КОРАБЛИ;shshetsch korabli;Die Schiffe verbrennen.;"Entschieden mit der Vergangenheit brechen; die Rückkehr zu Früherem unmöglich machen.";alle Brücken hinter sich abbrechen;0.5;СЖЕЧЬ КОРАБЛИ/МОСТЫ;szhech korabli/mosty;To burn the ships /bridges.;"To take an irrevocable step; to do something that makes it impossible to retreat, to change one’s plans, etc.";To burn one’s boats/bridges.;1.0
481;СИДЕТЬ МЕЖДУ ДВУХ СТУЛЬЕВ;ßidetj meshdu dwuch ßtuljew;Zwischen zwei Stühlen sitzen.;"Gleichzeitig zwei verschiedene, unversöhnliche Standpunkte in etw. vertreten; sich in seinem Verhalten von  divergierenden Meinungen leiten lassen.";zwischen zwei Stühlen sitzen;1.0;СИДЕТЬ МЕЖДУ ДВУХ СТУЛЬЕВ;sid’et’ m’ezhdu dvukh stlil’yev;To sit between two chairs;To try to adhere to two different, irreconcilable points of view: to try to keep the favour of both sides in a dispute;"To run with the hare and hunt with the hounds; to play a double game.";0.0
482;СИДЕТЬ НА ЧЕМОДАНАХ;ßidetj na tschemodanach;Auf den Koffern sitzen.;Alles gepackt haben und auf die Abreise warten.;auf (den) gepackten Koffern sitzen;0.5;СИДЕТЬ НА ЧЕМОДАНАХ;sid’et’ na chemodanakh;To sit on one’s suitcasesю;Packed and waiting to go.;;0.0
483;СИДЕТЬ СЛОЖА РУКИ;ßidetj ßlosha ruki;Die Hände zusammenlegend dasitzen.;Nichts tun, untätig sein.;"Däumchen drehen; die Hände in den Schoß legen";0.5;СИДЕТЬ СЛОЖА РУКИ;sid’et’ slozha niki;To sit with one’s arms folded.;"To be idle; to sit still doing nothing.";To sit twiddling one’s thumbs;0.0
484;СКЛОНЯТЬ кого-либо ВО ВСЕХ ПАДЕЖАХ;ßklonjatj (kowo-libo) wo wßech padeshach;J-n in allen Fällen beugen.;"J-n häufig meist mißbilligend erwähnen; j-n durchhecheln.";;0.0;СКЛОНЯТЬ кого-либо ВО ВСЕХ ПАДЕЖАХ;sklon’at’ vo vs’ekh pad’ezhakh;To decline someone in all cases.;To talk a lot about someone at every opportunity (usually in a derogatory manner).;;0.0
485;СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ;ßkoljsitj po powerchnoßti;Auf der Oberfläche gleiten.;"Nicht in das Wesen von etw. eindringen; nur das Äußere berühren.";an der Oberfläche bleiben;0.5;СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ;skol’zit’ ро pov’erkhnosti;To glide on the surface.;"To deal with a subject only superficially; to pay attention to outward appearances without going to the root of the matter.";"To skim the surface of something; never to go below the surface.";1.0
486;СКОЛЬКО ЛЕТ, СКОЛЬКО ЗИМ!;ßkoljko let, ßkoljko sim!;Wieviel Sommer, wieviel Winter!;Wie lange ist es her! (Ausruf bei der Begegnung mit j-m, den man lange nicht gesehen hat);;0.0;СКОЛЬКО ЛЕТ, СКОЛЬКО ЗИМ!;skol’ko l’et skol’ko zim;So many summers, so many winters!;How long ago! (A greeting used when two people haven’t seen each other for a long time).;Long time no see! I haven’t seen you for ages! Fancy meeting you after all this time.;0.0
487;СЛАБАЯ СТРУНКА;ßlabaja ßtrunka;Die schwache Saite.;Die empfindliche, leicht verwundbare Stelle des Charakters, an der j-d leicht zu treffen ist.;die schwache Stelle;0.5;СЛАБАЯ СТРУНКА;slabaya striinka;A weak string.;"The most vulnerable aspect of someone’s character; a matter upon which one is easily affected or most sensitive.";A weak/soft point;0.0
488;С ЛЁГКИМ СЕРДЦЕМ;ß ljochkim ßerzem;Mit leichtem Herzen.;Ohne Aufregung, ohne Befürchtung.;leichten Herzens;1.0;С ЛЁГКИМ СЕРДЦЕМ;s l’okhkim s’ertsem;With a light heart.;Free from sorrow, discomfort, anxiety, misgivings.;With a light heart.;1.0
489;С ЛЁГКОЙ РУКИ кого-либо;ß Ijochkoj ruki (kowo-libo);Von j-s leichter Hand.;J-d hat den guten Anfang gemacht.;;0.0;С ЛЁГКОЙ РУКИ;s l’okhkoy ruki;From the light hand of someone.;At someone’s initiative or following someone’s example which set in motion a series of subsequent actions or deeds.;;0.0
490;СЛЕД ПРОСТЫЛ;ßled proßtyl;Die Spur ist kalt geworden.;J-d ist spurlos verschwunden.;j-d ist über alle Berge;0.0;СЛЕД ПРОСТЫЛ;sl’ed prostyl;Someone’s footprints have grown cold.;"Someone has run away, disappeared; there’s not a trace of someone.";To vanish into thin air.;0.0
491;СЛОМАТЬ ЛЁД;ßlomatj Ijod;Das Eis (zer)brechen.;Schwierigkeiten, Spannungen in den Beziehungen beseitigen.;das Eis brechen;1.0;СЛОМАТЬ ЛЁД;slomat’ l’od;To break the ice.;"To put an end to formality, stiffness or shyness in one’s relations with people; to make the first step; to mark the beginning; to cause any matter to start moving.";"To start the ball rolling; to break the ice";1.0
492;С ЛУНЫ СВАЛИЛСЯ;ß luny ßwalilßja;Vom Mond gefallen. ;Er versteht nicht, was offensichtlich allen verständlich ist.;j-d kommt vom Mond;0.5;С ЛУНЫ СВАЛИЛСЯ;s luny svalils’a;One has fallen from the moon.;"Someone is puzzled; someone doesn’t understand what is evident to everyone.";"As if he were born yesterday; to fall from the moon.";1.0
493;СЛЫШНО, КАК МУХА ПРОЛЕТИТ;ßlyschno kak mucha proletit;Man hört die Fliege vorbeifliegen.;Es ist sehr still.;man könnte eine Nadel fallen hören;0.0;СЛЫШНО, КАК МУХА ПРОЛЕТИТ;slyshno kak mukha prol’etit;One could hear a fly flying past.;"It’s absolutely quiet; it’s deadly still.";You could hear a pin drop;0.0
494;СЛЮНКИ ТЕКУТ;ßljunki tekut;Der Speichel fließt.;J-d verspürt den sehnlichen Wunsch, etw. (meist sehr Schmackhaftes) zu probieren.;j-m läuft das Wasser im Mund zusammen;0.5;СЛЮНКИ ТЕКУТ;sl’iinki t’ekut;Saliva is flowing.;Someone is anxious to partake of some tasty food or drink.;To make someone’s mouth water;0.0
495;СМАТЫВАТЬ УДОЧКИ;ßmatywatj udotschki;Seine Angeln einziehen (aufwickeln).;Eilig fortgehen, verschwinden.;sich aus dem Staub machen;0.0;СМАТЫВАТЬ УДОЧКИ;smatyvat’ udochki;To reel in the lines;To depart in haste;"To take/sling one’s hook; to take to one’s heels; to clear out";0.5
496;СМЕЯТЬСЯ В КУЛАК;ßmejatza w kulak;In die Faust lachen.;Verstohlen lachen.;sich eins ins Fäustchen lachen;1.0;СМЕЯТЬСЯ В КУЛАК;sm’eyattsa v kulak;To laugh into one’s fist.;To laugh secretly to oneself while being outwardly serious.;To laugh in/up one’s sleeve;0.5
497;СМОТРЕТЬ В КОРЕНЬ;ßmotretj w korenj;Auf die Wurzel sehen.;Den Blick auf das Wesentliche, die Hauptsache von etw. richten.;einer Sache auf den Grund gehen;0.0;СМОТРЕТЬ В КОРЕНЬ;smotret’ v kor’en’;To look into the root;"To look deep into the matter; to investigate the matter thoroughly; to try to grasp the crux of a matter; to tackle something at its source";To get to the heart/root of something.;0.5
498;СМОТРЕТЬ В ОБА;ßmotretj w oba;Mit beiden (Augen) sehen.;"Etw. aufmerksam betrachten, achtgeben; wachsam sein. ";auf der Hut sein;0.0;СМОТРЕТЬ В ОБА;smotret’ v oba;To look through both.;"To look attentively; to be closely observant; to be on the alert; to be particularly watchful";To keep one’s eyes peeled/skinned;0.0
499;СМОТРЕТЬ кому-либо В РОТ;ßmotretj (komu-libo) w rot;J-m in den Mund sehen.;J-m aufmerksam oder unterwürfig zuhören.;an j-s Lippen hängen;0.0;СМОТРЕТЬ кому-либо В РОТ;smotr’et’ v rot;To look someone in the mouth.;"To listen attentively and servilely to what one says; to fawn on someone.";To hang on someone’s words;0.0
500;СМОТРЕТЬ ДРУГИМИ ГЛАЗАМИ;ßmotretj drugimi glasami;Mit anderen Augen sehen.;Sich zu j-m oder etw. anders verhalten.;mit anderen Augen sehen;1.0;СМОТРЕТЬ ДРУГИМИ ГЛАЗАМИ;smotret’ drugimi glazami;To look at someone or something with different eyes.;To look at or assess someone or something in a different way.;To look with another eye upon.;0.5
501;СМОТРЕТЬ КАК БАРАН НА НОВЫЕ ВОРОТА;ßmotretj kak baran na nowyje worota;Schauen wie der Hammel auf das neue Tor.;Unverständig blicken, absolut nichts verstehen.;wie die Kuh vorm neuen Tor stehen;0.5;СМОТРЕТЬ КАК БАРАН НА НОВЫЕ ВОРОТА;smotret’ kak baran na novyye vorota;To look at someone or something like a ram at a new gate.;"To look at someone or something with a puzzled, perplexed or dismayed expression on one s face; to look rather stupid, not understanding what is going on; to look quite lost.";;0.0
502;СМОТРЕТЬ СВЕРХУ ВНИЗ;ßmotretj ßwerchu wnis;Von oben nach unten sehen.;J-m gegenüber seine Missachtung zeigen.;"auf j-n herabblicken; j-n von oben herab behandeln";0.0;СМОТРЕТЬ СВЕРХУ ВНИЗ;smotr’et’ sverkhu vniz;To look down at someone from above.;"To regard someone as inferior or with disapproval; to treat someone haughtily, disdainfully.";"To look down on someone; to look down";0.5
503;СМОТРЕТЬ СКВОЗЬ ПАЛЬЦЫ;ßmotretj ßkwosj paljzy;Durch die Finger sehen.;"Etw. absichtlich nicht beachten; bewußt nichts Anstößiges an etw. bemerken.";durch die Finger sehen;1.0;СМОТРЕТЬ СКВОЗЬ ПАЛЬЦЫ;smotr’et’ skvoz’ pal’tsy;To look through one’s fingers.;"To purposely avoid seeing; to deliberately ignore a piece of misconduct or a transgression; to refuse to observe something; to connive at; to wink at.";"To make light of; to turn a blind eye to; to look the other way; to look through one’s fingers.";1.0
504;СМОТРЕТЬ СКВОЗЬ РОЗОВЫЕ ОЧКИ;ßmotretj ßkwosj rosowyje otschki;Durch eine rosafarbene Brille blicken.;"Mängel und Unzulänglichkeiten übersehen; j-n oder etw. idealisieren.";alles durch eine rosige Brille sehen;0.5;СМОТРЕТЬ СКВОЗЬ РОЗОВЫЕ ОЧКИ;smotr’et’ skvoz’ rozovyve ochki;To look through rose-coloured glasses.;Not to see a person’s shortcomings: to take too optimistic a view of someone or something.;To view/look through rose coloured-glasses;1.0
505;СНИМАТЬ ПЕНКИ;ßnimatj penki;Die Sahne herunternehmen.;Das Beste für sich behalten.;den Rahm abschöpfen;0.5;СНИМАТЬ ПЕНКИ;snimat’ penki;To skim.;To appropriate part of the results of someone else’s labour.;To skim the cream off.;0.5
506;СНИМАТЬ с кого-либо СТРУЖКУ;ßnimatj (ß kowo-libo) ßtrushku;Von j-m einen Hobelspan abnehmen.;"J-n ausschimpfen; j-n rügen.";j-m den Kopf waschen;0.0;СНИМАТЬ с кого-либо СТРУЖКУ;snimat’ struzhku;To take the shavings off someone.;To criticize someone severely, to rate someone soundly, to scold someone.;To tear someone off a strip.;0.0
507;СНЯТЬ перед кем-либо ШЛЯПУ;ßnjatj (pered kem-libo) schljapu;Vor j-m den Hut abnehmen.;J-m seine Achtung bezeugen.;vor j-m den Hut ziehen;1.0;СНЯТЬ перед кем-либо ШЛЯПУ;sn’at’ shl’apu;To take off one’s hat before someone.;To express respect, admiration for a person’s achievements.;To take off one’s hat to someone;1.0
508;СОБАКУ СЪЕЛ на чём-либо;ßobaku ßjel (na tschom-libo);Darauf hat er einen Hund gegessen.;Er hat reiche Erfahrung, genaue Kenntnis von etw. erworben.;darauf versteht er sich;0.0;СОБАКУ СЪЕЛ на чём-либо;sobaku s’yel;One has eaten the dog at something.;"One has acquired great skill or experience in something; one knows something thoroughly; one is an expert in something.";"To have something at one’s fingertips; to know something inside out; to know the ropes; he’s been around";0.0
509;СОВАТЬ HOC во что-либо;ßowatj noß (wo tschto-libo);Die Nase in etw. stecken.;Sich in etw. (meist fremde Angelegenheiten) einmischen.;in etw. seine Nase stecken;1.0;СОВАТЬ HOC во что-либо;sovat’ nos;To stick one’s nose into something.;"To meddle in or interfere with other people’s affairs; to intrude where one is not wanted.";To poke / stick one’s nose into something;1.0
510;СОН В РУКУ;ßon w ruku;Den Traum in die Hand genommen.;Der Traum ist Wirklichkeit geworden.;;0.0;СОН В РУКУ;son v ruku;The dream has come into one’s hand.;Said of a dream that has come true.;;0.0
511;СОРИТЬ ДЕНЬГАМИ;ßoritj denjgami;Mil Geld Schmutz machen.;" Unvernünftig Geld in großer Menge ausgeben; Geld vergeuden.";mit Geld um sich werfen;0.5;СОРИТЬ ДЕНЬГАМИ;sorit’ d’en’gami;To litter with money.;"To spend a large sum of money recklessly; to squander money.";To throw one’s money about;0.5
