id,head_ru,transliteration,literal,meaning,equivalents
460,САДИТЬСЯ НА ЛЮБИМОГО КОНЬКА,sadittsa na l’ubimovo kon’ka,To mount one’s favourite pony.,To dwell on one’s favourite topic; to be on one’s pet subject.,To mount/ride one’s hobby/hobby-horse
461,САДИТЬСЯ НА ШЕЮ,sadittsa na sheyu,To sit down on someone’s neck,To submit someone to one’s willy; to put someone under one’s complete control; to use someone as a tool.,To live off someone
462,САДИТЬСЯ HE В СВОИ САНИ,sadittsa n’e v svoi sani,To get into someone else’s sleigh.,"To undertake to do something one knows nothing about or which one who has inadequate knowledge, training, etc.; to occupy a post for which one is unsuited.",
463,САМИ С УСАМИ,sami s usami,We too have a moustache of our own.,Not young in wisdom; no worse than.,We weren’t born yesterday.
464,САПОГИ ВСМЯТКУ,sapogi vsm’atku,Soft-boiled boots.,"Rot, nonsense, rubbish, a trifling matter, nothing.",
465,СБРАСЫВАТЬ МАСКУ,sbrasyvat’ masku,To throw off the mask.,"To show one’s true self, one’s true character and intentions.",To throw off the mask
466,СВЕТЛАЯ ГОЛОВА,sv’etlaya golova,A bright head.,"A lucid mind, a clear intellect, a bright spirit.",A clear head
467,СВОДИТЬ КОНЦЫ С КОНЦАМИ,svodit’ kontsy s kontsami,To bring the ends together.,With great effort or difficulty to balance one’s income with one’s expenditures; to manage with one’s resources.,To make both ends meet.
468,СВОРОТИТЬ ГОРЫ,svorotit’ gory,To shift mountains.,To do something important which calls for great effort.,To move mountains.
469,СВЯЗАТЬ кого-либо ПО РУКАМ И НОГАМ,To tie someone’s hands and feet,hands and feet.,To deprive someone of the possibility to act freely; to completely restrain someone’s activities by conditions or rules.,To bind/tie someone hand and foot
470,СГЛАЖИВАТЬ ОСТРЫЕ УГЛЫ,sglazhivat’ ostryye ugly,To smooth sharp corners.,To smooth things over; to relieve the situation; to ease tension; to adjust differences,
471,СГОРАТЬ CO СТЫДА,sgorat’ so styda,To burn with shame.,To feel great shame.,To burn with shame
472,СГУЩАТЬ КРАСКИ,sgushchat’ kraski,To thicken the paints.,To exaggerate; to picture something as being worse than it really is.,To lay it on thick
473,СДАВАТЬ В АРХИВ,sdavat’ v arkhiv,To relegate to the archives.,To dismiss as unfit for a particular use; to bury in oblivion as something obsolete or useless.,
474,СЕМЬ ПОТОВ СОШЛО,s’em’ potov soshlo,Seven sweats have come off.,One has exerted himself to the fullest to accomplish something.,To sweat one’s guts out
475,СЕМЬ ПЯТНИЦ НА НЕДЕЛЕ,s’em’ p’atnits na n’ed’el’e,Someone has seven Fridays in one week.,"Someone who easily and frequently changes his mind, mood or intentions.",Someone is in twenty minds; to chop and change
476,СЕРДЦЕ /ДУША HE ЛЕЖИТ к кому-либо/чему-либо,sertse/dusha n’e l’ezhit,sertse/dusha n’e l’ezhit,"One’s heart/soul doesn’t lie for something or someone. One feels great pity, compassion, grief; one feels something keenly, takes something hard.",To put one’s foot in it: to get oneself into a fix/spot
477,СЕРДЦЕ/ДУША РАЗРЫВАЕТСЯ НА ЧАСТИ,sertse/dusha razryvayetsa,One’s heart is breaking. ,"One feels great pity, compassion, grief; one feels something keenly, takes something hard.",One’s heart is breaking.
478,СЕСТЬ В ЛУЖУ,-j s’est’ v luzhu,To sit down into a puddle.,To get oneself into an awkward position or compromising situation; to let oneself be duped; to do or say something stupid.,To put one’s foot in it: to get oneself into a fix/spot.
479,СЕСТЬ НА МЕЛЬ,s’est’ na m’el’,To sit down on a shoal.,"To get into an extremely difficult situation; to be in unsatisfactory circumstances, especially with little money.",To be on the rocks; to be in low water; to be in a tight corner.
480,СЖЕЧЬ КОРАБЛИ/МОСТЫ,szhech korabli/mosty,To burn the ships /bridges.,"To take an irrevocable step; to do something that makes it impossible to retreat, to change one’s plans, etc.",To burn one’s boats/bridges.
481,СИДЕТЬ МЕЖДУ ДВУХ СТУЛЬЕВ,sid’et’ m’ezhdu dvukh stlil’yev,To sit between two chairs,"To try to adhere to two different, irreconcilable points of view: to try to keep the favour of both sides in a dispute",To run with the hare and hunt with the hounds; to play a double game.
482,СИДЕТЬ НА ЧЕМОДАНАХ,sid’et’ na chemodanakh,To sit on one’s suitcasesю,Packed and waiting to go.,
483,СИДЕТЬ СЛОЖА РУКИ,sid’et’ slozha niki,To sit with one’s arms folded.,To be idle; to sit still doing nothing.,To sit twiddling one’s thumbs
484,СКЛОНЯТЬ кого-либо ВО ВСЕХ ПАДЕЖАХ,sklon’at’ vo vs’ekh pad’ezhakh,To decline someone in all cases.,To talk a lot about someone at every opportunity (usually in a derogatory manner).,
485,СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ,skol’zit’ ро pov’erkhnosti,To glide on the surface.,To deal with a subject only superficially; to pay attention to outward appearances without going to the root of the matter.,To skim the surface of something never to go below the surface.
486,"СКОЛЬКО ЛЕТ, СКОЛЬКО ЗИМ!",skol’ko l’et skol’ko zim,"So many summers, so many winters!",How long ago! (A greeting used when two people haven’t seen each other for a long time).,Long time no see! I haven’t seen you for ages! Fancy meeting you after all this time.
487,СЛАБАЯ СТРУНКА,slabaya striinka,A weak string.,The most vulnerable aspect of someone’s character; a matter upon which one is easily affected or most sensitive.,A weak/soft point
488,С ЛЁГКИМ СЕРДЦЕМ,s l’okhkim s’ertsem,With a light heart.,"Free from sorrow, discomfort, anxiety, misgivings.",With a light heart.
489,С ЛЁГКОЙ РУКИ,s l’okhkoy ruki,From the light hand of someone.,At someone’s initiative or following someone’s example which set in motion a series of subsequent actions or deeds.,
490,СЛЕД ПРОСТЫЛ,sl’ed prostyl,Someone’s footprints have grown cold.,"Someone has run away, disappeared; there’s not a trace of someone.",To vanish into thin air.
491,СЛОМАТЬ ЛЁД,slomat’ l’od,To break the ice.,"To put an end to formality, stiffness or shyness in one’s relations with people; to make the first step; to mark the beginning; to cause any matter to start moving.",To start the ball rolling; to break the ice
492,С ЛУНЫ СВАЛИЛСЯ,s luny svalils’a,One has fallen from the moon.,Someone is puzzled; someone doesn’t understand what is evident to everyone.,As if he were born yesterday; to fall from the moon.
493,"СЛЫШНО, КАК МУХА ПРОЛЕТИТ",slyshno kak mukha prol’etit,One could hear a fly flying past.,It’s absolutely quiet; it’s deadly still.,You could hear a pin drop
494,СЛЮНКИ ТЕКУТ,sl’iinki t’ekut,Saliva is flowing.,Someone is anxious to partake of some tasty food or drink.,To make someone’s mouth water
495,СМАТЫВАТЬ УДОЧКИ,smatyvat’ udochki,To reel in the lines,To depart in haste,To take/sling one’s hook; to take to one’s heels; to clear out
496,СМЕЯТЬСЯ В КУЛАК,sm’eyattsa v kulak,To laugh into one’s fist.,To laugh secretly to oneself while being outwardly serious.,To laugh in/up one’s sleeve
497,СМОТРЕТЬ В КОРЕНЬ,smotret’ v kor’en’,To look into the root,To look deep into the matter; to investigate the matter thoroughly; to try to grasp the crux of a matter; to tackle something at its source,To get to the heart/root of something.
498,СМОТРЕТЬ В ОБА,smotret’ v oba,To look through both.,To look attentively; to be closely observant; to be on the alert; to be particularly watchful,To keep one’s eyes peeled/skinned
499,СМОТРЕТЬ кому-либо В РОТ,smotr’et’ v rot,To look someone in the mouth.,To listen attentively and servilely to what one says; to fawn on someone.,To hang on someone’s words
500,СМОТРЕТЬ ДРУГИМИ ГЛАЗАМИ,smotret’ drugimi glazami,To look at someone or something with different eyes.,To look at or assess someone or something in a different way.,To look with another eye upon.
501,СМОТРЕТЬ КАК БАРАН НА НОВЫЕ ВОРОТА,smotret’ kak baran na novyye vorota,To look at someone or something like a ram at a new gate.,"To look at someone or something with a puzzled, perplexed or dismayed expression on one s face; to look rather stupid, not understanding what is going on; to look quite lost.",
502,СМОТРЕТЬ СВЕРХУ ВНИЗ,smotr’et’ sverkhu vniz,To look down at someone from above.,"To regard someone as inferior or with disapproval; to treat someone haughtily, disdainfully.",To look down on someone; to look down
503,СМОТРЕТЬ СКВОЗЬ ПАЛЬЦЫ,smotr’et’ skvoz’ pal’tsy,To look through one’s fingers.,To purposely avoid seeing; to deliberately ignore a piece of misconduct or a transgression; to refuse to observe something; to connive at; to wink at.,To make light of; to turn a blind eye to; to look the other way; to look through one’s fingers.
504,СМОТРЕТЬ СКВОЗЬ РОЗОВЫЕ ОЧКИ,smotr’et’ skvoz’ rozovyve ochki,To look through rose-coloured glasses.,Not to see a person’s shortcomings: to take too optimistic a view of someone or something.,To view/look through rose coloured-glasses
505,СНИМАТЬ ПЕНКИ,snimat’ penki,To skim.,To appropriate part of the results of someone else’s labour.,To skim the cream off.
506,СНИМАТЬ с кого-либо СТРУЖКУ,snimat’ struzhku,To take the shavings off someone.,"To criticize someone severely, to rate someone soundly, to scold someone.",To tear someone off a strip.
507,СНЯТЬ перед кем-либо ШЛЯПУ,sn’at’ shl’apu,To take off one’s hat before someone.,"To express respect, admiration for a person’s achievements.",To take off one’s hat to someone
508,СОБАКУ СЪЕЛ на чём-либо,sobaku s’yel,One has eaten the dog at something.,One has acquired great skill or experience in something; one knows something thoroughly; one is an expert in something.,To have something at one’s fingertips; to know something inside out; to know the ropes; he’s been around
509,СОВАТЬ HOC во что-либо,sovat’ nos,To stick one’s nose into something.,To meddle in or interfere with other people’s affairs; to intrude where one is not wanted.,To poke / stick one’s nose into something
510,СОН В РУКУ,son v ruku,The dream has come into one’s hand.,Said of a dream that has come true.,
511,СОРИТЬ ДЕНЬГАМИ,sorit’ d’en’gami,To litter with money.,To spend a large sum of money recklessly; to squander money.,To throw one’s money about
512,CO СКРИПОМ,so skripom,With a creak.,"To do something very slowly, with great difficulty or effort, reluctantly.",
513,С ОТКРЫТОЙ ДУШОЙ/ ОТКРЫТЫМ СЕРДЦЕМ,s otkrytoy dushoy/otkrytym s’ertsem,With an open heart/soul,"To treat, someone or do something sincerely, trustfully, frankly, openly, without prejudice.",
514,СПАТЬ БЕЗ ЗАДНИХ НОГ,spat’ b’ez zadnikh nog ,To sleep without one’s hind legs.,To sleep soundly.,To sleep like a log/top
515,С ПЛЕЧ ДОЛОЙ,s pi’ech doloy,Off one’s shoulders. ,"One needn’t bother about something any longer; one no longer has an irksome burden to bear; one has got rid of duties, cares, responsibilities.","That’s done, thank goodness."
516,СПУТАТЬ ВСЕ КАРТЫ,sptitat’ vs’e karty,To mix up all the cards.,To spoil or ruin someone’s plans; to upset someone’s calculations.,To upset someone’s apple-cart.
517,СРАЖАТЬСЯ С ВЕТРЯНЫМИ МЕЛЬНИЦАМИ,srazhattsa s vetr’anymi m’el’nitsami,To fight against the windmills.,To waste energy in combating imaginary evils or difficulties; to attack an imaginary foe.,To tilt at windmills.
518,СТАВИТЬ ВО ГЛАВУ УГЛА,stavit’ vo glavu ugla,To put something in the vertex of an angle.,To assign primary importance to something; to consider something to be indispensible.,
519,СТАВИТЬ кого-либо НА НОГИ,stavit’ na nogi,To put someone on his feet.,To cure someone of an illness.,
520,СТАВИТЬ НА ОДНУ ДОСКУ,stavit’ na odnu dosku,To put someone on the same board with someone else.,To put someone on the same level with someone else; to consider one person comparable with another.,
521,СТАВИТЬ что-либо С НОГ НА ГОЛОВУ,stavit’ s nog na golovu,To put something from its feet into its head.,To give a distorted picture of something; to put things in the wrong order; to take the effect for the cause.,To put the cart before the horse
522,СТАВИТЬ ТОЧКИ НАД И,stavit’ tochki nad i,To put dots above the i’s,To make something clear and definite; to give most careful attention to detail.,To put the finishing touches to; to dot one’s i’s and cross one’s t’s.
523,СТАНОВИТЬСЯ НА ДЫБЫ,stanovittsa na dyby,To stand up on one’s hind legs.,To resist; to protest; to display stubbornness.,To rear up; to stand up on one’s hind legs
524,СТАРО КАК МИР,staro kak mir,As old as the world.,"Very old, stale, uninteresting because heard before.",As old as the hills
525,СТИРАТЬ ГРАНИ,stirat’ grani,To grind off the edges.,To remove differences or distinctions.,
526,СТОИТ КАК ВКОПАННЫЙ,One stands as if dug in.,One stands as if dug in.,"One stands quite still, motionless.",To stand as if rooted to the ground.
527,СТОЯТЬ за кого-либо/что-либо ГОРОЙ,stoyat’ goroy,To stand for someone or something like a mountain.,"To defend someone or something with all one’s might, by every possible means; to be solidly behind someone or something; to stand firm or stick up for someone or something.",To stand for someone through thick and thing; to back someone up to the hilt.
528,СТОЯТЬ НАД ДУШОЙ,stoyat’ nad dushoy,To stand over someone’s soul.,To annoy someone by constantly watching him; to importune someone.,To stand over someone; to breath down someone’s neck; to worry the life out of someone.
529,СТОЯТЬ ПОПЕРЁК ГОРЛА,stoyat’ pop’er’ok gorla,To stand across someone’s throat.,"To become unbearable, unendurable; to be a source of annoyance, irritation, especially a persistent one.",A thorn in one’s flesh/side.
530,СТОЯТЬ ПОПЕРЁК ДОРОГИ,stoyat’ pop’er’ok dorogi,To stand across the road.,"To be an obstacle, hindrance or impediment to someone; to hamper someone’s chances of success or progress.",To be stand in someone’s way
531,СТРЕЛЯНЫЙ ВОРОБЕЙ,str’el’any vorob’ey,A sparrow that has been shot at.,A person experienced in the matter at hand; someone not easily deceived.,An old hand; a knowing old bird
532,СТРЕЛЯТЬ ИЗ ПУШКИ ПО ВОРОБЬЯМ,str’el’at’ is pushki po vorob’yam,To fire a cannon at sparrows.,To use an instrument or take measures far more powerful than is necessary; to make a great effort for a small gain.,To use a sledge-hammer to crack a nut; to break a fly/butterfly up on the wheel.
533,СТРИЧЬ ВСЕХ ПОД ОДНУ ГРЕБЁНКУ,strich vs’ekh pod odrni gr’eb’onku,To cut everyone’s hair with one comb.,To treat everyone alike; to reduce everyone to the same level; to judge all people the same way.,
534,СТРОИТЬ НА ПЕСКЕ,stroit’ na p’esk’e,To build something on sand.,"To make plans, organise a scheme, etc., on an insecure foundation.",To build on sand.
535,С ТЯЖЁЛЫМ СЕРДЦЕМ,s t’azholym s’ertsem,With a heavy heart.,"To be anxious, depressed, in low spirits: to have a presentiment that something unpleasant or undesirable is about to happen.",With a heavy heart
536,СЧИТАТЬ ВОРОН,shchitat’ voron,To count the crows.,"To gape at something; to be distracted, inattentive; to be bored. ",
537,СЫТ ПО ГОРЛО,syt po gorlo,Full right up to the throat.,One has had too much of something; one is surfeited with something.,To be fed up with something; to have one’s fill of something.
538,ТАНЦЕВАТЬ ОТ ПЕЧКИ,tantsevat’ ot p’echki,To dance from the stove.,"To begin with something that is elementary, familiar, or simpler, repeating all the movements or operations from the very beginning; to begin from the beginning.",
539,ТАСКАТЬ КАШТАНЫ ИЗ ОГНЯ,taskat’ kashtany iz ogn’a,To pull the chestnuts out of the fire. ,To do the hardest and the most painstaking part of some job for someone else’s benefit.,To pull the chestnuts out of the fire
540,ТАЩИТЬ ЗА УШИ,tashchit’ za ushy,To pull someone by the ears.,"To do everything to help someone (usually one who is remiss and of less than average ability) in his studies, in obtaining promotion, etc.",
541,ТЁПЛОЕ МЕСТЕЧКО,t’oploye m’est’echko,A warm little place.,A highly paid appointment or job; a profitable position.,A cushy/snug job
542,ТЕРЯТЬ ГОЛОВУ,t’er’at’ golovu,To lose one’s head.,"To become flustered, confused, panic stricken; to lose one’s self-control.",To lose one’s head/wits; to lose one’s presence of mind.
543,ТЕРЯТЬ ПОЧВУ ПОД НОГАМИ,t’er’at’ pochvu pod nogami,To lose the ground under one’s feet.,"To lose self-confidence in one’s occupation, social position or convictions.",To feel the ground slipping away from under one’s feet.
544,"ТИШЕ ВОДЫ, НИЖЕ TPABЫ",tishe vody nizhe travy,"Quieter than water, lower than grass.","One is meek, timid, mild, quiet.",Quiet as a mouse; meek as a lamb.
545,ТОЛОЧЬ ВОДУ В СТУПЕ,toloch vodu v sttip’e,To pound the water in the mortar.,"To do useless work, to engage in fruitless talk that can have no results, to waste time.",To beat the air; to mill the wind.
546,ТРЕЩАТЬ ПО ШВАМ,tr’eshchat’ po shvam,To burst at the seams.,"To be on the verge of destruction, collapse, ruin.",To go/fall to pieces; to fall/burst apart at the seams.
547,ТЯЖЕЛАЯ АРТИЛЛЕРИЯ,t’azholaya artil’eriya,Heavy artillery.,Something that can be used in an emergency as an effective means of achieving an end.,
548,ТЯЖЁЛ НА ПОДЪЁМ,t’azhol na pod’yorn,t’azhol na pod’yom,"Heavy on the rise. Slow or unwilling to do something; sluggish, hard to move or rouse to action.",
549,ТЯНУТЬ ВРЕМЯ,t’amit’ vr’em’a,To drag the time.,To be slow in acting; to procrastinate; to wait for a favourable opportunity.,To bide one’s time
550,ТЯНУТЬ ЗА ЯЗЫК,t’arnit’ za yazyk,To pull someone by the tongue.,To make someone say something; to pump someone.,
551,УБИТЬ ДВУХ ЗАЙЦЕВ,ubit’ dvukh zaitsev,To kill two hares.,To achieve two objects simultaneously; to attain two results with one means.,To kill two birds with one stone.
552,УДАРИТЬ КАК ОБУХОМ ПО ГОЛОВЕ,udarit’ kak obukhom po golov’e,To strike as if with an axe-butt on the head.,"To amaze, to perplex, to stun someone; to take someone aback.",To knock someone down with a feather; to knock someone off his pins.
553,УДАРИТЬ ПО РУКАМ,udarit’ po rukam,To strike each other’s hands.,To confirm an agreement or a business deal; to strike a bargain.,To shake hands on it.
554,УЗНАТЬ что-либо ИЗ ПЕРВЫХ РУК,uznat’ is pervykh ruk,To learn something from the first hands.,To receive information direct from a primary source without intermediaries.,At first hand.
555,УЙТИ В КУСТЫ,uyti v kusty,To go into the scrubs.,To withdraw from one’s promise or an undertaking; to disclaim further responsibility for something.,To make oneself scarce; to back out; to show the white feather.
556,УЙТИ В СЕБЯ,uyti v s’eb’a,To go into one’s own self.,"To become withdrawn, uncommunicative; to become less sociable and more reserved.",To retire into oneself
557,УЙТИ С ГОЛОВОЙ во что-либо,uyti z golovoy,To go headlong into something.,"To be fully absorbed, deeply engrossed or totally involved in something.",To throw oneself/plunge into something; to get up to one’s neck in something.
558,УКАЗАТЬ кому-либо НА ДВЕРЬ,ukazat’ na dv’er’,to point to the door.,"Peremptorily to ask a person, whose presence is unwelcome, to leave the house, room, etc.",To show someone the door
559,УМЫВАТЬ РУКИ,umyvat’ ruki,To wash one’s hands,To divest oneself of any further connection with or responsibility for something; to abandon the matter entirely.,To wash one’s hands of something.
560,УНОСИТЬ НОГИ,unosit’ nogi,To carry away one’s legs.,To flee; to run as fast as one’s legs will carry one: to have a narrow escape.,To escape by the skin of one’s teeth.
561,УПАСТЬ С НЕБА НА ЗЕМЛЮ,upast’ s n’eba na z’eml’u,To fall from the sky to the earth.,To be disillusioned; to abandon fantasy and return to practical realities.,To come down to earth.
562,УСТРАИВАТЬ СЦЕНУ,ustraivat’ stsenu,To make a scene.,"To start a noisy or violent argument, quarrel or scrap with someone, expressing one’s dissatisfaction, irritation, etc.",To stage/kick up a row; to make a scene.
563,УТЕРЕТЬ кому-либо НОС,ut’er’et’ nos,To wipe someone’s nose.,To win an advantage over someone; to humiliate or cause disgruntlement; to make a clever retort.,To score off someone; to get the better of someone; to steal a march on someone.
564,УХО РЕЖЕТ,ukho r’ezhet,Something cuts one’s ear.,It’s grating upon one’s ears; it’s painful to listen to; it offends the ear.,
565,УШИ ВЯНУТ,ushy v’anut,One’s ears fade.,"It is so ridiculous, absurd or silly that it’s disgusting to listen to.",It makes one sick to hear about it
566,ХВАТАТЬ ЗВЁЗДЫ С НЕБА,khvatat’ zv’ozdy s n’eba,To snatch the stars from the sky.,To be very good at something; to be able to do something remarkable.,He is as good as they come
567,ХВАТАТЬСЯ ЗА ГОЛОВУ,khvatattsa za golovu,To clutch one’s head.,To be struck with horror; to abandon oneself to despair.,
568,ХВАТАТЬСЯ ЗА СОЛОМИНКУ,khvatattsa za solominku,To clutch at a straw.,"When in extreme danger, difficulty, etc., to try to seize any chance, however small or useless, of getting out of it.",To catch/clutch at a straw
569,ХОДИТЬ ВОКРУГ ДА ОКОЛО,khodit’ vokriig da okolo,To walk round and about.,"To avoid saying something openly, frankly, directly; to avoid the essential facts; not to come to the point; to approach a matter in a roundabout way.",To beat about the bush
570,ХОДИТЬ НА ГОЛОВЕ,khodit’ na golov’e,To walk on one’s head.,To get into mischief; to play pranks; to be naughty (usually said of children).,
571,ХОДИТЬ ПО КРАЮ ПРОПАСТИ,khodit’ ро krayu propasti,To walk on a brink of an abyss.,To be in imminent mortal danger; to be on the verge of a disaster.,On a brink of a precipice
572,ХОДИТЬ ПО СТРУНКЕ,khodit’ po strtink’e,To walk on a string.,"To be completely under someone’s authority; to be very obedient, almost to the point of servility.",To be at someone’s beck and call; to dance attendance upon someone; to toe the line
573,ХОТЬ ТРАВА НЕ РАСТИ,khot’ trava n’e rasti,Who cares whether or not the grass grows.,One couldn’t care less; it’s all the same to someone.,Not to care a straw
574,ХОТЬ ШАРОМ ПОКАТИ,khot’ sharom pokati,You could even roll a ball through it.,There’s nothing there; it’s completely empty.,Bare as a bone; as bare as the palm of one’s hand.
575,ХРОМАТЬ НА ОБЕ НОГИ,khromat’ na ob’e nogi,To limp on both legs;,"To have serious gaps in one’s knowledge, training or abilities.",
576,ХУДОЙ КАК СПИЧКА,khudoy kak spichka,Thin as a matchstick.,Very thin.,
577,ЦЕНЫ НЕТ кому-либо/чему-либо,tseny n’et,There’s no price on someone or something,"Someone or something is priceless, invaluable.",
578,ЧЕРЕЗ чью-либо ГОЛОВУ,cher’ez golovu,Over someone’s head.,To do something without informing one’s immediate superior; to apply to a higher authority by passing an intermediate one.,To go over someone’s head
579,ЧЕРЕЗ ЧАС ПО ЧАЙНОЙ ЛОЖКЕ,her’ez chas ро chaynoy lozhk’e,One teaspoonful every other hour.,To be few and at long intervals; very slowly.,In drops; in/by driblets; few and far between
580,ЧЁРНАЯ КОШКА ПРОБЕЖАЛА,chornaya koshka prob’ezhala,A black cat has run between them.,There’s a coolness between them; they have become estranged.,They have fallen out
581,ЧЁРНЫМ ПО БЕЛОМУ,chornym po b’elomu,In black on white.,"To declare or state something definitely, clearly, distinctly.",In black and white
582,ЧЁРТОВА ДЮЖИНА,chortova d’tizhina,A devil’s dozen.,Thirteen.,A devil’s/a baker’s dozen
583,ЧЕСАТЬ ЯЗЫК,chesat’ yazyk,To scratch one’s tongue.,To engage in idle talk; to talk continuously; to chatter.,To wag one’s tongue
584,ЧИТАТЬ МЕЖДУ СТРОК,chitat’ m’ezhdu strok,To read between the lines.,To discern the concealed meaning; to draw conclusions which are not obvious in something said or written.,To read between the lines.
585,ЧУДЕСА В РЕШЕТЕ,chudesa v r’eshet’e,Miracles in a sieve.,"It’s amazing, incredible, unbelievable extraordinary; it’s a fantastic tale.",
586,ЧУЖИМИ РУКАМИ ЖАР ЗАГРЕБАТЬ,chuzhimi rukami zhar zagr’ebat’,To bank up the fire with someone else’s hands.,To benefit by the results of someone else’s work; to use the results of someone else’s work to achieve one’s selfish ends.,To make a cat’s-paw of someone; to pull someone’s chestnuts out of the fire.
587,ШАПКАМИ ЗАКИДАЕМ,shapkami zakidayem,"We’ll pelt you (him, etc.) with our caps. ",We expect to win without difficulty; it’s as good as certain (to boast of an easy victory).,It’s a walk-over; it’s in the bag
588,ШАПОЧНОЕ ЗНАКОМСТВО,shapochnoye znakomstvo,A cap acquaintance.,A slight acquaintance.,A nodding/bowing acquaintance
589,ШИТО БЕЛЫМИ НИТКАМИ,shito b’elymi nitkami,It is sewn with white thread.,It is a flimsy story or excuse easily seen through; it is all too obvious; it is quite transparent.,Something does not hold water; made up out of whole cloth.
590,ШУТКИ В СТОРОНУ,shutki v storonu,Jokes aside.,Speaking seriously; it’s a serious matter; let’s get down to business.,Joking apart/aside; all kidding aside.
591,ЯБЛОКУ НЕГДЕ УПАСТЬ,yabloku n’egd’e upast’,No room for an apple to fall.,"Used to indicate that there is a large number of people in one place, that the place is overcrowded, that there is hardly room to move or turn around.",There’s no room to swing a cat
592,ЯЗЫК СЛОМАЕШЬ,yazyk slomayesh,You can break your tongue.,It’s very difficult to pronounce a word or a phrase.,You can break /twist your tongue
593,ЯЗЫК ХОРОШО ПОДВЕШЕН,yazyk horosho podv’eshen,One’s tongue is hung well.,Someone is a smooth talker; someone has a glib tongue.,To have the gift of the gab.
594,ЯСНО КАК ДЕНЬ,yasno kak d’en’,Clear as day.,"Easy to see or comprehend; quite evident, obvious; as plain or clear as can be.",As plain as the nose on your face; as plain as day
